Model,Variant,Recall,Precision,F1,Specificity,NPV,AUROC,FN,Recovered_FNs
MLP (F1 (macro)),Stage 1 only,0.7705835010060362,0.28302345435781967,0.4097127763214215,0.27591474814379574,0.6127264040738556,0.5713395419791867,16.2,0.0
MLP (F1 (macro)),Two stage,0.926056338028169,0.2724384451186626,0.41867261416564383,0.09066022114203301,0.4410112359550562,0.5783289227109895,5.25,15.0
MLP (F1 (macro)),Delta (Two stage - Stage 1),0.15547283702213277,-0.010585009239157062,0.00895983784422233,-0.18525452700176273,-0.1717151681187994,0.0069893807318027745,-10.95,15.0
MLP (Balanced Acc),Stage 1 only,0.7705835010060362,0.28302345435781967,0.4097127763214215,0.27591474814379574,0.6127264040738556,0.5713395419791867,16.2,0.0
MLP (Balanced Acc),Two stage,0.926056338028169,0.2737265438124217,0.42026860754789097,0.09710352011110517,0.6910112359550562,0.5747170452607209,5.25,15.0
MLP (Balanced Acc),Delta (Two stage - Stage 1),0.15547283702213277,-0.009296910545397996,0.01055583122646947,-0.17881122803269056,0.07828483188120061,0.0033775032815341888,-10.95,15.0
MLP (AUCPR),Stage 1 only,0.7029778672032193,0.28234292020270924,0.4007431085313396,0.34119972223705997,0.7575539902807522,0.5726239322586875,21.0,0.0
MLP (AUCPR),Two stage,0.9408450704225352,0.27173863488280886,0.4197142107355001,0.07252817691362641,0.352808988764045,0.578834403246572,4.2,16.8
MLP (AUCPR),Delta (Two stage - Stage 1),0.23786720321931587,-0.010604285319900375,0.018971102204160484,-0.26867154532343357,-0.4047450015167072,0.00621047098788452,-16.8,16.8
MLP (F1 Weighted),Stage 1 only,0.7086116700201207,0.28491739375175906,0.40428888363908416,0.34430853052721544,0.7627264040738556,0.5724633834737499,20.6,0.0
MLP (F1 Weighted),Two stage,0.9408450704225352,0.2727691138378161,0.4209910054412978,0.07768281608888414,0.5528089887640449,0.5735005573207419,4.2,16.4
MLP (F1 Weighted),Delta (Two stage - Stage 1),0.23223340040241447,-0.012148279913942961,0.016702121802213643,-0.2666257144383313,-0.20991741530981067,0.001037173846991979,-16.400000000000002,16.4
