Feature,Beta,OR,CI_low,CI_high,p_value,N,Error,p_value_fdr,significant_fdr
child_alcohol_many,0.8605801248601491,2.3645320197044333,0.7891979061620488,7.084422840649938,0.12425786492906378,1321,,0.33931955422936644,False
mReligion_none,0.1876560710420666,1.2064185217245254,0.9445754650469944,1.5408463414700038,0.13277769336902817,1321,,0.3491561566370741,False
mAlcohol,-0.08957753007027959,0.9143173752859293,0.8063269729602357,1.0367708023962845,0.16244888028593685,1321,,0.4119239464393399,False
mEmploy_lo sup and tech,-0.6189571099701527,0.5385057471264366,0.22221957959912203,1.3049634969669766,0.17050187780767256,1321,,0.41743563187395694,False
fAlcohol_binary_high risk,-0.21681892826126903,0.8050757325705059,0.5801240401103077,1.1172557769726192,0.19468846716310617,1321,,0.4607627056193513,False
m5_mean_acc,-0.4014120390095193,0.6693741959275563,0.34044929149382797,1.3160897242806733,0.24453557513203195,575,,0.5197823084826539,False
mEdu_overseas,-0.5746215574828148,0.5629178605539638,0.21311053004127167,1.486911593102811,0.24624845183530697,1321,,0.5197823084826539,False
fConscienc,0.07393881021497466,1.076740917935121,0.9501371988066752,1.2202143077987888,0.24664057679590712,1321,,0.5197823084826539,False
fDepression_Yes,0.24856101649471912,1.282179054054055,0.8376750018227234,1.9625548369925767,0.2524340054263151,1321,,0.5197823084826539,False
mReligion_sikh,-1.198844856298655,0.30154233553667004,0.03806472303738869,2.3887676795020103,0.2562307154491956,1321,,0.5197823084826539,False
fAlcohol,-0.07002001924324347,0.9323751542741053,0.8227819933376902,1.05656593769289,0.27241078407726105,1321,,0.5372546019301537,False
mvpa_acc_1min,-0.13001987806132675,0.8780779762592177,0.6935696161870164,1.1116705726387857,0.27998273515073935,575,,0.5372641674514188,False
child_cannabis_one to four,0.23430438145173868,1.2640291806958477,0.8060881748596251,1.9821277863663702,0.30733568133345135,1321,,0.5660631056751703,False
child_ADHD_Yes,0.45356034066105466,1.5739058629232032,0.6545649327078983,3.7844674249445047,0.3109360721314316,1321,,0.5660631056751703,False
fKessler,0.058641543926414,1.0603950675541705,0.9421631301454806,1.1934639165083738,0.3309278857657719,1321,,0.5813009316757489,False
mvpa_acc_5min,-0.10702579090759606,0.8985024994965347,0.7206192946950661,1.1202957616381013,0.34169103001785317,575,,0.5813009316757489,False
banghead_Yes,0.32191348174191714,1.3797653958944276,0.7009674735599366,2.715892847408882,0.3514943297489471,1321,,0.5813009316757489,False
